Soil Type,GLCM Contrast,Wavelet Energy,Entropy,Histogram RGB Mean,Crop
Alluvial Soil,317.2663526,13785239951,6.182892325,2365.3125,Grapes
Alluvial Soil,356.3716886,13795595052,6.218376761,2365.3125,Pulses
Alluvial Soil,341.8517938,13787267726,6.209699526,2365.3125,Pulses
Alluvial Soil,301.6866568,13806387817,6.17168747,2365.3125,Pulses
Alluvial Soil,278.9337062,13827149111,6.145268895,2365.3125,Pulses
Alluvial Soil,287.1104509,13829773128,6.155714048,2365.3125,Pulses
Alluvial Soil,303.7081511,13820184311,6.171417847,2365.3125,Pulses
Alluvial Soil,292.4182559,13817755999,6.161234117,2365.3125,Pulses
Alluvial Soil,284.410058,13845071659,6.150191385,2365.3125,Pulses
Alluvial Soil,257.5332538,13866648717,6.121645673,2365.3125,Pulses
Alluvial Soil,1027.836592,10240651769,7.02469667,2365.3125,Rice
Alluvial Soil,1024.636062,10315603557,7.023789221,2365.3125,Rice
Alluvial Soil,1020.938044,10300384355,7.021804169,2365.3125,Rice
Alluvial Soil,1029.073846,10260599473,7.025292794,2365.3125,Rice
Alluvial Soil,1023.452069,10263867844,7.023040673,2365.3125,Rice
Alluvial Soil,265.8324442,13865510698,6.127410137,2365.3125,Pulses
Alluvial Soil,1021.409394,10334553789,7.021844521,2365.3125,Rice
Alluvial Soil,1017.125618,10351584796,7.021010309,2365.3125,Rice
Alluvial Soil,1040.930033,10297520442,7.029056068,2365.3125,Rice
Alluvial Soil,1013.727188,10359929608,7.019709676,2365.3125,Rice
Alluvial Soil,613.9779909,14596791151,6.757184748,2365.3125,Grapes
Alluvial Soil,1018.665333,10335293186,7.021164749,2365.3125,Rice
Alluvial Soil,1010.501527,10397049703,7.017835903,2365.3125,Rice
Alluvial Soil,1004.243226,10400936431,7.014545979,2365.3125,Rice
Alluvial Soil,924.061472,17114585369,7.170445007,2365.3125,Grapes
Alluvial Soil,612.5259369,14545442625,6.741369783,2365.3125,Grapes
Alluvial Soil,922.8845707,17101917245,7.171663952,2365.3125,Grapes
